Query	templateId	templateText	etalon_text	algorithm	score	timeout
календарь на апрель и май 2024 года	576384	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/12/500390/actual/	выходные в мае 2024 год	SbertT5	0.8988838195800781	0.6659724712371826
заявление о зачете в счет уплаты ндфл	577992	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/86/680578/actual/	заявление о зачете в счет предстоящих обязательств.	SbertT5	0.8554816246032715	0.5933785438537598
доп соглашение к трудовому договору о премии	795	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/118/795/actual/	доп соглашение к трудовому договору о премии	Jaccard	1.0	0.41818785667419434
подтвердить основной вид деятельности в сфр ип	583671	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/16/144584/actual/	как подтвердить в сфр основной вид деятельности	SbertT5	0.7952605485916138	0.5134806632995605
какой октмо ставить в декларации по имуществу	92161	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/16/92161/actual/	какой октмо ставить в декларации по имуществу	Jaccard	1.0	0.30620288848876953
какие документы должен выдать самозанятый при ремонте	0				0.0	0.5889549255371094
страховые взносы на затраты усн для организаций	656523	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/86/656523/actual/	страховые взносы на затраты усн для организаций	Jaccard	1.0	0.43451547622680664
в ооо автомобиль обязательны ли путевые листы	585712	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/16/139964/actual/	обязательны ли путевые листы в микропредприятии новая форма	SbertT5	0.9300324320793152	0.5127403736114502
корректировочный счет-фактура поступление к уменьшению книга покупок	701010	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/86/701010/actual/	корректировочный счет-фактура поступление к уменьшению книга покупок	Jaccard	1.0	0.304379940032959
образец заполнения платежек по ндфл в 2024	141911	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/16/141911/actual/	образец заполнения платежек по ндфл в 2024	Jaccard	1.0	0.47400593757629395
